sentence,scoring
Two women are embracing while holding to-go packages.,3
Two men on bicycles are competing.,3
Families are waiting in line at an amusement park.,3
Two women are having drinks at the bar.,3
Two doctors perform surgery on a patient.,3
A dog with long hair jumps to catch a toy.,3
Kids are on an amusement ride.,3
A man in a red shirt is playing golf outside.,3
The woman wearing the black headscarf is walking.,3
He takes a picture in the middle of the street.,3
A man is singing into a microphone.,3
A pregnant lady is singing on stage.,3
A boy in a blue shirt is holding a toy.,3
A woman is writing something on a post-it note.,3
A girl swings high in the air.,3
A man is sitting on the steps outside.,3
A person rides his bicycle beside the ocean.,3
A group of people prepares hot air balloons for takeoff.,3
A group of young people with instruments are on stage.,3
The man in a black shirt is playing guitar.,3
A woman is talking on the phone.,3
Two women are doing some crafts.,3
A street performer is performing outside.,3
A young boy is playing in the grass.,3
People are throwing tomatoes at each other.,3
A man and a woman are talking in a park.,3
A woman and a man are talking in a park.,3
Alex hopes that he is going to win the race.,3
Two men are cooking on the corner of the street.,3
He was wandering in the desert.,3
A lady with dark hair is walking in a crowd.,3
A lady with dark hair is in a crowd walking.,3
A man is talking to his friend.,3
His friend is talking to a man.,3
A boy reaches the top of a small skateboarding ramp.,3
A man is waterskiing with a life jacket.,3
A group of children enjoys their time in the park.,3
Many people are sitting on the grass.,3
A newborn baby is being bathed.,3
A woman is sitting outside an outdoor market stall.,3
Number thirteen kicks a soccer ball towards the goal.,3
A girl is taking a photo of an interesting site.,3
A man sits in front of a display of artwork.,3
A child is jumping into the arms of a man.,3
A man is jumping into the arms of a child.,3
A guy is waxing a wooden floor with wax.,3
This is the image of two women squatting.,3
A man uses a projector to give a presentation.,3
An older gentleman is speaking at a podium.,3
An older gentleman is at a podium speaking.,3
A young girl is jumping outside.,3
A young girl is outside jumping.,3
This guy is with a gun and army gear.,3
This guy is with army gear and a gun.,3
A man with a safety suit is walking outside.,3
A man with a safety suit is outside walking.,3
A man poses for a photo by jumping.,3
A boy looks angry.,3
A man is reading a newspaper in a car dealership.,3
The police officer is on patrol.,3
A man stands on one foot near a beach.,3
A man wearing a white shirt is playing the drums.,3
Two women in suits walk by a building.,3
Two people are waiting for a train at a station.,3
A woman is smiling at a camera.,3
A goalie is running for an approaching ball.,3
Two men sitting on a subway are reading.,3
Kids are drawing something on paper.,3
A young woman is singing into a microphone.,3
An elephant is walking through the water.,3
A diver is swimming with a turtle.,3
A turtle is swimming with a diver.,3
A man is skateboarding.,3
Two little girls ride down a blue water slide.,3
A woman walks by a brick building.,3
Two men are working on computers.,3
A young girl with blonde hair is holding a jacket.,3
A young girl blows bubbles.,3
Two children are playing on the floor.,3
Two children are on the floor playing.,3
Two men are in a science lab.,3
A dog is chasing a stuffed animal.,3
A man jumps down a hill.,3
Two boys stand in an ocean as the sun sets.,3
The woman is doing yoga alone.,3
Girls are dancing in matching outfits.,3
Children are standing in a classroom.,3
Children are having lunch.,3
A child is looking out of a door.,3
A boy jumps over a flight of stairs.,3
A man wears a black jacket.,3
People use clothespins to hang up laundry outside.,3
A dog reaches to catch a ball with its mouth.,3
A young boy is in a green tunnel.,3
The little boy is jumping into a puddle.,3
Kids sit close to a television that is showing cartoons.,3
Company workers are having dinner together.,3
The woman is talking to her friends.,3
A girl gazes in a clothing store window.,3
People dressed in costumes are on the street.,3
A person is writing on a chalkboard.,3
A group of people gathers outside.,3
The pianist plays the supporting melody on stage.,3
A woman is holding her child.,3
A boy is holding red kites.,3
She stands next to a garden.,3
He is swimming in a pool.,3
A Hispanic market has many fruits and vegetables.,3
A Hispanic market has many vegetables and fruits.,3
A woman with an umbrella is jumping in the air.,3
A girl in winter clothes looks up in the sky.,3
A man is trying to score a goal in soccer.,3
A dog leaps into the air in a grassy field.,3
A man is standing next to his daughter.,3
Three girls are taking a selfie.,3
Children dressed in winter clothes are walking through the woods.,3
A man is sitting outside wearing brown pants.,3
A man wearing brown pants is sitting outside.,3
She is looking into a mirror.,3
Six players are on a field.,3
A baby looks at her dirty fingers.,3
A couple is looking at the camera.,3
Two people are sitting on horses.,3
Women are walking on green grass.,3
A man is in a lab looking into a microscope.,3
They walk past a temple on their way to pray.,3
A man in a green shirt is eating.,3
A man is shaving his beard.,3
A young man is walking a dog.,3
A woman hands a plate of food to another woman.,3
They are cooking dinner at home.,3
They are at home cooking dinner.,3
Kathy is walking by herself in a city.,3
A man is playing the violin outside.,3
Two kids are standing in the ocean hugging each other.,3
People are watching hot air balloons.,3
A dog licks his nose.,3
They are dancing together on the street.,3
They are dancing on the street together.,3
A girl is building a gingerbread house.,3
A dog is in front of a waterfall.,3
A waterfall is in front of a dog.,3
A girl sits on the floor.,3
A woman stands on a beach and performs yoga.,3
People are shopping at a grocery store.,3
A child holds a football and runs from other children.,3
A boy is sitting on a bus.,3
A happy boy is jumping.,3
A boy is walking away from tents behind him.,3
A kid is wearing a life vest.,3
Basketball players are standing on a basketball court.,3
A young girl is lying on the floor.,3
A man is holding a sleeping baby.,3
People are taking pictures.,3
A woman rock-climbs in a rural area. ,3
A blond woman stands in front of a luxury car.,3
A musical group performs on a green carpet.,3
A woman is working on papers at her desk.,3
Three workers are trimming down trees.,3
Workers are trimming down three trees.,3
People sit around a circular bar.,3
The riot police officers stand in front of the crowd.,3
She is using a laptop.,3
A construction worker is standing on a crane.,3
A man is jumping onto his bed.,3
A man is walking down the sidewalk with his dog.,3
Young players are playing water polo.,3
A sidewalk vendor sells grilled corn.,3
Many runners are running around the track.,3
A man is grilling fish on a barbecue,3
A girl is lying on her back in the snow.,3
A girl is running towards a tennis court.,3
They are standing in the snow.,3
Many children are playing on a playground.,3
A black dog jumps over an obstacle.,3
A woman is playing with her kid in the backyard.,3
A group of people is gathered outside.,3
A woman is standing near the water.,3
A man is playing an instrument for cash.,3
A woman is bicycle racing along a dirt track.,3
A little boy is playing in a puddle.,3
A girl and her boyfriend are sitting on stone steps.,3
The girls are riding bicycles.,3
Many people stand in the subway.,3
A woman is holding a baby by a window.,3
Two men wrestle on the floor.,3
A boy rides on a camel.,3
Two black dogs are playing on the grass together.,3
Two men are practicing martial arts.,3
A woman is holding a glass of wine.,3
He is playing guitar.,3
A woman is wearing a white dress.,3
They are doing maintenance on the road.,3
A man is climbing a rock face.,3
A girl runs with her barefoot on the grass.,3
Two men are climbing stairs.,3
A woman is being photographed near a bicycle.,3
He is playing the accordion.,3
